일자,중식계,석식계
2021-01-27,1078.91,382.49
2021-01-28,981.3,392.29
2021-01-29,599.42,256.05
2021-02-01,1186.53,451.87
2021-02-02,976.97,409.16
2021-02-03,1012.56,398.74
2021-02-04,948.58,456.94
2021-02-05,606.6,319.66
2021-02-08,1176.57,620.9
2021-02-09,998.77,482.88
2021-02-10,983.19,392.29
2021-02-15,1273.98,657.37
2021-02-16,1185.35,638.12
2021-02-17,1080.43,389.38
2021-02-18,840.76,515.33
2021-02-19,621.68,352.31
2021-02-22,1223.05,610.67
2021-02-23,997.8,602.08
2021-02-24,750.79,341.7
2021-02-25,811.16,497.34
2021-02-26,562.52,300.91
2021-03-02,996.58,604.82
2021-03-03,1004.68,404.58
2021-03-04,931.02,491.37
2021-03-05,559.35,287.54
2021-03-08,1281.3,703.73
2021-03-09,1227.52,701.01
2021-03-10,1026.92,389.74
2021-03-11,931.32,483.53
2021-03-12,554.89,287.79
2021-03-15,1264.18,672.05
2021-03-16,997.77,556.29
2021-03-17,1064.59,325.56
2021-03-18,881.1,449.05
2021-03-19,598.0,296.19
2021-03-22,1200.57,585.69
2021-03-23,969.28,541.64
2021-03-24,875.26,358.67
2021-03-25,806.18,394.44
2021-03-26,598.32,330.22
2021-03-29,1196.2,576.69
2021-03-30,985.17,524.54
2021-03-31,930.725,356.16
2021-04-01,750.02,390.16
2021-04-02,592.41,313.61
2021-04-05,1191.99,571.83
2021-04-06,1008.94,551.17
2021-04-07,928.25,321.83
2021-04-08,857.15,442.26
2021-04-09,607.33,328.29
