,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,day,morning_menu,lunch_menu,dinner_menu,중식계,석식계
0,-1.2080831301838078,-0.74872092288004,-2.0945501169427163,-0.14673513386191442,-0.39590064641692174,0,"['모닝롤', '찐빵', '우유', '두유', '주스', '계란후라이', '호두죽', '쌀밥', '된장찌개', '쥐어채무침', '포기김치']","['쌀밥', '잡곡밥', '오징어찌개', '쇠불고기', '계란찜', '청포묵무침', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '육개장', '자반고등어구이', '두부조림', '건파래무침', '포기김치']",1039.0,331.0
1,-1.2080831301838078,-0.74872092288004,-1.5659874093110104,0.1823492791936718,-0.39590064641692174,1,"['모닝롤', '단호박샌드', '우유', '두유', '주스', '계란후라이', '팥죽', '쌀밥', '호박젓국찌개', '시래기조림', '포기김치']","['쌀밥', '잡곡밥', '김치찌개', '가자미튀김', '모둠소세지구이', '마늘쫑무침', '요구르트', '배추겉절이']","['콩나물밥*양념장', '어묵국', '유산슬', '아삭고추무침', '바나나', '포기김치']",867.0,560.0
2,-1.2080831301838078,-0.7070920487803853,-1.405120498292665,-0.6627069913688213,-0.39590064641692174,2,"['모닝롤', '베이글', '우유', '두유', '주스', '계란후라이', '표고버섯죽', '쌀밥', '콩나물국', '느타리호박볶음', '포기김치']","['카레덮밥', '팽이장국', '치킨핑거', '쫄면야채무침', '견과류조림', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '청국장찌개', '황태양념구이', '고기전', '새송이버섯볶음', '포기김치']",1017.0,573.0
3,-1.2080831301838078,-0.3740610559831483,-0.4858810067592633,0.3286090183294879,-0.39590064641692174,3,"['모닝롤', '토마토샌드', '우유', '두유', '주스', '계란후라이', '닭죽', '쌀밥', '근대국', '멸치볶음', '포기김치']","['쌀밥', '잡곡밥', '쇠고기무국', '주꾸미볶음', '부추전', '시금치나물', '요구르트', '포기김치']","['미니김밥*겨자장', '우동', '멕시칸샐러드', '군고구마', '무피클', '포기김치']",978.0,525.0
4,-1.2080831301838078,0.8331762929068358,-1.3821395110043302,-0.9755403222982056,-0.39590064641692174,4,"['모닝롤', '와플', '우유', '두유', '주스', '계란후라이', '쇠고기죽', '쌀밥', '재첩국', '방풍나물', '포기김치']","['쌀밥', '잡곡밥', '떡국', '돈육씨앗강정', '우엉잡채', '청경채무침', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '차돌박이찌개', '닭갈비', '감자소세지볶음', '콩나물무침', '포기김치']",925.0,330.0
5,-1.2080831301838078,1.5616815896507918,-2.255417027961062,0.5805007912856156,-0.39590064641692174,3,"['팬케익', '찐빵', '우유', '두유', '주스', '계란후라이', '견과류죽', '쌀밥', '감자찌개', '명엽채무침', '포기김치']","['쌀밥', '잡곡밥', '시래기국', '훈제오리구이', '도토리묵무침', '쌈무', '양파절임', '요구르트', '포기김치']","['참치회덮밥', '맑은국', '군만두', '과일샐러드', '락교', '포기김치']",1045.0,550.0
6,-1.2080831301838078,1.6033104637504463,-1.9566641932127062,-0.7358368609367293,-0.39590064641692174,4,"['모닝롤', '야채샌드', '우유', '두유', '주스', '계란후라이', '고구마죽', '쌀밥', '봄동된장국', '숙주나물', '포기김치']","['쌀밥', '잡곡밥', '꽃게탕', '돈육굴소스볶음', '옥수수전', '유채나물', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '김치콩나물국', '미니함박', '어묵볶음', '물파래무침', '깍두기']",909.0,598.0
7,-1.2080831301838078,-0.49200953259883645,-0.8535768033726241,0.8445808758363947,-0.39590064641692174,0,"['모닝롤', '치즈프레즐', '우유', '두유', '주스', '계란후라이', '잣죽', '쌀밥', '민물새우찌개', '콩조림', '포기김치']","['쌀밥', '잡곡밥', '시금치국', '닭감자조림', '연두부*양념장', '콩나물무침', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '홍합미역국', '등갈비김치찜', '임연수구이', '브로컬리초장', '포기김치']",1268.0,672.0
8,-1.2080831301838078,-0.596081717847973,-0.11818521014590262,1.0233427792246144,-0.39590064641692174,1,"['모닝롤', '마늘빵', '우유', '두유', '주스', '계란후라이', '단호박죽', '쌀밥', '어묵국', '김구이', '포기김치']","['쌀밥', '잡곡밥', '쇠고기무국', '탕수어', '오징어숙회무침', '취나물', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '된장찌개', '쇠불고기', '해파리겨자채', '봄동무침', '포기김치']",1014.0,523.0
9,-1.2080831301838078,-0.5544528437483184,0.20354861189078802,-1.0202307981452605,-0.39590064641692174,2,"['모닝롤', '참치샌드', '우유', '두유', '주스', '계란후라이', '흑임자죽', '쌀밥', '북어계란국', '무생채', '포기김치']","['쌀밥', '잡곡밥', '냉이된장국', '쇠고기장조림', '통도라지구이', '치커리무침', '요구르트', '포기김치']","['볶음밥*자장소스', '맑은국', '새우또띠아', '쨔샤이무침', '요플레', '포기김치']",916.0,588.0
10,-1.2080831301838078,-0.5613909894315942,0.29547256104412817,0.37736226470809325,-0.39590064641692174,3,"['모닝롤', '인절미토스트', '우유', '두유', '주스', '계란후라이', '계란후라이', '선지해장국', '톳두부무침', '포기김치']","['낙지비빔밥', '유부장국', '고구마치즈구이', '해초무침', '요구르트', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '순두부찌개', '명태조림', '감자채볶음', '쌈만두', '포기김치']",910.0,489.0
11,-1.2080831301838078,-0.08959708296884172,0.2495105864674581,-0.83334335369394,-0.39590064641692174,4,"['모닝롤', '씨크립샌드', '우유', '두유', '주스', '계란후라이', '밤죽', '쌀밥', '홍합탕', '오이생채', '포기김치']","['쌀밥', '잡곡밥', '대구찌개', '마늘간장치킨', '새송이버섯볶음', '돌나물무침', '치킨무', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '설렁탕', '김치전', '야채스틱', '바나나', '석박지']",763.0,597.0
12,-1.2080831301838078,-0.4711950955490091,-0.784633841507619,0.6495678903219733,-0.39590064641692174,0,"['모닝롤', '팬케익', '우유', '주스', '계란후라이', '브로컬리죽', '쌀밥', '고추장찌개', '시금치나물', '포기김치']","['쌀밥', '오곡밥', '쇠고기느타리국', '갈치구이', '호박꼬지&고사리&무나물', '파래김*양념장', '부럼', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '옹심이만두국', '떡갈비조림', '청포묵무침', '부추오이생채', '포기김치']",1298.0,645.0
13,-1.2080831301838078,-0.7001539030971096,-0.09520422285756758,0.8689574990256974,-0.39590064641692174,1,"['모닝롤', '야채샌드', '우유', '주스', '계란후라이', '닭죽', '쌀밥', '재첩국', '참나물땅콩가루무침', '포기김치']","['쌀밥', '잡곡밥', '콩나물국', '돈육간장볶음', '버섯잡채', '꽃상추무침', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '콩비지찌개', '해물까스&타르타르소스', '볶음쌀국수', '미역레몬초무침', '통배추겉절이']",899.0,610.0
14,-1.2080831301838078,-0.7209683401469369,-0.2101091592992428,-1.0567957329292146,-0.39590064641692174,2,"['모닝롤', '꿀호떡', '우유', '주스', '계란후라이', '김치죽', '쌀밥', '무채국', '애호박나물', '포기김치']","['비빔밥', '팽이장국', '소세지피망볶음', '맛탕', '귤', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '열무된장국', '매운돼지갈비찜', '멸치호두볶음', '숙주나물', '포기김치']",1022.0,514.0
15,-1.2080831301838078,-0.7070920487803853,0.4563394720624735,0.24735360769847894,-0.39590064641692174,3,"['모닝롤', '크로와상', '우유', '주스', '계란후라이', '쇠고기죽', '쌀밥', '봄동된장국', '어묵볶음', '포기김치']","['쌀밥', '잡곡밥', '북어계란국', '닭갈비', '새싹두부구이', '곰피초장', '요구르트', '포기김치']","['김밥', '잔치국수', '교자만두', '(오븐에', '찜)', '멕시칸샐러드', '무피클', '포기김치']",917.0,531.0
16,-1.2080831301838078,-0.09653522865211749,0.8470162559641693,-0.943038158045802,-0.39590064641692174,4,"['모닝롤', '에그샌드', '우유', '주스', '계란후라이', '밤죽', '쌀밥', '꽃게탕', '시래기조림', '포기김치']","['쌀밥', '잡곡밥', '수제비국', '오징어볶음', '계란찜', '도라지초무침', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '닭개장', '삼치구이', '꽃맛살볶음', '청경채사과무침', '포기김치']",766.0,585.0
17,-1.2080831301838078,3.0325684745052555,-1.6808923457526856,-0.6667697619003716,-0.39590064641692174,0,"['모닝롤', '프렌치토스트', '우유', '두유', '주스', '계란후라이', '호두죽', '쌀밥', '콩나물김치국', '곰피초장', '포기김치']","['쌀밥', '잡곡밥', '얼갈이된장국', '제육볶음', '늙은호박전', '치커리생채', '요구르트', '포기김치']","['쌀밥', '잡곡밥', '버섯들깨탕', '꽁치한마리구이', '두부양념조림', '구이김', '포기김치']",869.0,344.0
18,-1.073732097320176,-0.2144837052678056,-1.359158523715995,-0.05329141163625414,-0.39590064641692174,2,"['모닝롤', '단팥빵', '우유', '두유', '주스', '계란후라이', '참치야채죽', '쌀밥', '올갱이아욱국', '오이무침', '포기김치']","['쌀밥', '잡곡밥', '쇠고기미역국', '주꾸미볶음', '맛살계란말이', '아삭고추무침', '포기김치']","['쌀밥', '잡곡밥', '된장찌개', '버섯불고기', '콩나물겨자채', '양념깻잎지', '포기김치']",1127.0,631.0
19,-1.073732097320176,-0.6724013203640065,-0.39395705760592314,0.3123579362032861,-0.39590064641692174,3,"['모닝롤', '바나나샌드', '우유', '두유', '주스', '계란후라이', '팥죽', '쌀밥', '피바지락국', '가지볶음', '포기김치']","['쌀밥', '잡곡밥', '근대된장국', '탕수육', '새송이버섯조림', '무생채', '요구르트', '포기김치']","['멸치주먹밥', '우동', '떡볶이', '군고구마', '단무지', '포기김치']",1000.0,473.0
20,-1.073732097320176,-0.5197621153319395,0.13460565002578287,-0.7927156483784356,-0.39590064641692174,4,"['모닝롤', '사과파이', '우유', '두유', '주스', '계란후라이', '야채죽', '쌀밥', '시금치국', '볼어묵볶음', '포기김치']","['쌀밥', '잡곡밥', '부대찌개', '가자미튀김', '메추리알조림', '열무된장나물', '깍두기']","['쌀밥', '잡곡밥', '오징어국', '미트볼조림', '옥수수전', '부추생채', '포기김치']",837.0,673.0
21,-1.073732097320176,-0.74872092288004,-1.0604056889676394,0.738948842016083,-0.39590064641692174,0,"['모닝롤', '브라우니', '우유', '두유', '주스', '계란후라이', '땅콩죽', '쌀밥', '무채국', '쑥갓무침', '포기김치']","['쌀밥', '잡곡밥', '콩나물국', '닭갈비', '모둠묵*양념장', '톳두부무침', '포기김치']","['쌀밥', '잡곡밥', '대구찌개', '돈육굴소스볶음', '감자채볶음', '물파래무침', '포기김치']",1326.0,625.0
22,-1.073732097320176,-0.7695353599298673,-0.6697289050659437,0.6170657260695697,-0.39590064641692174,1,"['모닝롤', '고구마샌드', '우유', '두유', '주스', '계란후라이', '새송이죽', '쌀밥', '호박젓국찌개', '유채나물', '포기김치']","['쌀밥', '잡곡밥', '차돌박이찌개', '고등어김치말이', '소세지구이', '풋마늘초무침', '깍두기']","['카레덮밥', '가쯔오장국', '수제고로케*케찹', '과일샐러드', '오복지', '포기김치']",1026.0,609.0
23,-1.073732097320176,-0.7972879426629703,-0.3709760703175881,-1.1136745203709209,-0.39590064641692174,2,"['모닝롤', '롤케익', '우유', '두유', '주스', '계란후라이', '단호박죽', '쌀밥', '어묵국', '김자반', '포기김치']","['쌀밥', '잡곡밥', '북어국', '돈육장조림', '홍어무침', '시금치나물', '포기김치']","['쌀밥', '잡곡밥', '육개장', '생선까스*탈탈소스', '야채계란찜', '콩나물무침', '포기김치']",901.0,523.0
24,-1.073732097320176,-0.7140301944636611,0.0886436754491128,0.06452893377870883,-0.39590064641692174,3,"['모닝롤', '햄치즈샌드', '우유', '두유', '주스', '계란후라이', '녹두죽', '쌀밥', '냉이된장국', '명엽채무침', '포기김치']","['쌀밥', '잡곡밥', '고추장찌개', '닭데리야끼조림', '해물파전', '취나물', '포기김치']","['볶음밥', '짬뽕', '개성감자만두', '타코야끼', '꼬들단무지', '포기김치']",847.0,525.0
25,-1.073732097320176,-0.34630847325004527,0.7780732940991641,-0.8049039599730868,-0.39590064641692174,4,"['모닝롤', '찐빵', '우유', '두유', '주스', '계란후라이', '고구마죽', '쌀밥', '재첩국', '검정콩조림', '포기김치']","['쌀밥', '잡곡밥', '배추된장국', '수제돈가스', '탕평채', '쫄면무침', '포기김치']","['쌀밥', '잡곡밥', '연두부탕', '코다리무조림', '고추잡채*꽃빵', '봄동겉절이', '포기김치']",728.0,591.0
26,-1.073732097320176,-0.6724013203640065,-1.33617753642766,0.41392719949204726,-0.39590064641692174,0,"['모닝롤', '롤케이크', '우유', '주스', '계란후라이', '흑임자죽', '쌀밥', '황태국', '미역줄기볶음', '포기김치']","['쌀밥', '잡곡밥', '어묵국', '돈육고추장볶음', '모둠양채쌈*쌈장', '콩나물파채무침', '포기김치']","['쌀밥', '잡곡밥', '달래된장찌개', '간장찜닭', '통도라지구이', '참나물생채', '포기김치']",1286.0,586.0
27,-1.073732097320176,-0.8319786710793492,-0.23309014658757785,0.5073709217177076,-0.39590064641692174,1,"['모닝롤', '에그샌드', '우유', '주스', '계란후라이', '해물죽', '쌀밥', '쇠고기무국', '브로컬리들깨찜', '포기김치']","['쌀밥', '잡곡밥', '쑥국', '소불고기', '골뱅이무침*소면', '마늘쫑볶음', '포기김치']","['짜장잡채덮밥', '계란파국', '참치야채전', '꽃맛살샐러드', '오이무침', '포기김치']",958.0,545.0
28,-1.073732097320176,-0.74872092288004,-0.6467479177776086,-1.1136745203709209,-0.39590064641692174,2,"['모닝롤', '치즈프레즐', '우유', '주스', '계란후라이', '홍게살죽', '쌀밥', '시래기국', '느타리호박볶음', '포기김치']","['곤드레밥', '콩나물김치국', '미니채소떡갈비', '두부계란부침', '무나물', '포기김치']","['쌀밥', '잡곡밥', '뼈해장국', '해물청경채볶음', '버섯메밀전', '야채스틱*쌈장', '포기김치']",998.0,531.0
29,-1.073732097320176,-0.7348446315134884,0.019700713584107653,0.21485144344607537,-0.39590064641692174,3,"['모닝롤', '베이컨샌드', '우유', '주스', '계란후라이', '브로컬리죽', '쌀밥', '오징어국', '숙주나물', '포기김치']","['쌀밥', '잡곡밥', '사골우거지국', '탕수어', '파래김*양념장', '깻순나물', '깍두기']","['토마토스파게티', '양송이스프', '미니햄버거', '단호박범벅', '무피클', '음료', '포기김치']",832.0,548.0
30,-1.073732097320176,-0.27692701641728756,0.8240352686758342,-0.8820966000725454,-0.39590064641692174,4,"['모닝롤', '크로와상', '우유', '주스', '계란후라이', '표고버섯죽', '쌀밥', '들깨미역국', '방풍나물', '포기김치']","['쌀밥', '잡곡밥', '시금치국', '훈제오리구이', '연근땅콩조림', '쌈무', '부추생채', '포기김치']","['쌀밥', '잡곡밥', '닭곰탕', '임연수찜', '어묵곤약볶음', '돌나물초장', '석박지']",757.0,521.0
31,-1.073732097320176,-0.6446487376309034,-0.830595816084289,0.22297698450917627,-0.39590064641692174,0,"['모닝롤', '마늘빵', '우유', '주스', '계란후라이', '김치죽', '쌀밥', '무채국', '김실파무침', '포기김치']","['쌀밥', '잡곡밥', '꽃게탕', '버섯불고기', '계란말이', '도토리묵무침', '포기김치']","['쌀밥', '잡곡밥', '수제비국', '아귀콩나물찜', '새송이버섯볶음', '봄동겉절이', '포기김치']",1030.0,605.0
32,-1.073732097320176,-0.8111642340295219,-0.7616528542192839,0.4220527405551482,-0.39590064641692174,1,"['모닝롤', '씨크립샌드', '우유', '주스', '계란후라이', '참치야채죽', '쌀밥', '선지해장국', '브로컬리초장', '포기김치']","['쌀밥', '잡곡밥', '쇠고기샤브국', '코다리강정', '두부&김치볶음', '유채나물', '깍두기']","['굴소스파인볶음밥', '가쯔오장국', '찹쌀순대볶음', '궁중떡찜', '두반장가지나물', '포기김치']",917.0,585.0
33,-1.073732097320176,-0.8042260883462461,-0.11818521014590262,-1.1136745203709209,-0.39590064641692174,2,"['모닝롤', '카스텔라', '우유', '주스', '계란후라이', '새송이버섯죽', '쌀밥', '근대국', '쑥갓두부무침', '포기김치']","['콩나물밥*달래장', '맑은국', '치킨텐더*요거트D', '땅콩조림', '실곤약초무침', '포기김치']","['쌀밥', '잡곡밥', '알탕', '동그랑땡전', '마파두부', '시금치나물', '포기김치']",963.0,544.0
34,-1.073732097320176,-0.7279064858302127,0.22652959917912305,0.07671724537336017,-0.39590064641692174,3,"['모닝롤', '토마토샌드', '우유', '주스', '계란후라이', '밤죽', '쌀밥', '순두부국', '크랜베리멸치볶음', '포기김치']","['쌀밥', '잡곡밥', '북어계란국', '쇠고기장조림', '오징어초무침', '시래기나물', '포기김치']","['참치회덮밥', '미소장국', '군만두', '콘샐러드', '바나나', '포기김치']",876.0,507.0
35,-1.073732097320176,-0.41568993008280297,0.7780732940991641,-0.8739710590094445,-0.39590064641692174,4,"['모닝롤', '와플', '우유', '주스', '계란후라이', '견과류죽', '쌀밥', '콩나물국', '진미채무침', '포기김치']","['쌀밥', '잡곡밥', '닭개장', '자반고등어구이', '비엔나볶음', '열무나물', '배추겉절이']","['쌀밥', '잡곡밥', '냉이된장찌개', '누룽지탕수육', '감자채볶음', '청경채무침', '포기김치']",861.0,523.0
36,-1.073732097320176,-0.5613909894315942,-1.0144437143909695,0.10109386856266285,-0.39590064641692174,0,"['모닝롤', '프렌치토스트', '우유', '주스', '계란후라이', '새우살죽', '쌀밥', '두부김치국', '미역레몬초무침', '포기김치']","['쌀밥', '잡곡밥', '얼갈이된장국', '닭갈비', '해파리냉채', '취나물', '포기김치']","['쌀밥', '잡곡밥', '콩비지찌개', '유산슬', '해물까스*탈탈소스', '도라지나물', '포기김치']",1193.0,637.0
37,-1.073732097320176,-0.7348446315134884,0.0886436754491128,-0.06141695269935504,-0.39590064641692174,1,"['모닝롤', '참치샌드', '우유', '주스', '계란후라이', '야채죽', '쌀밥', '쇠고기버섯국', '오이무침', '포기김치']","['쌀밥', '잡곡밥', '옹심이만두국', '주꾸미볶음', '새송이버섯전', '치커리유자청생채', '포기김치']","['햄볶음밥', '유부장국', '돈육씨앗강정', '해초무침', '깨찰빵', '포기김치']",892.0,465.0
38,-1.073732097320176,-0.7625972142465915,-0.2560711338759129,-1.1136745203709209,-0.39590064641692174,2,"['모닝롤', '핫도그', '우유', '주스', '계란후라이', '닭죽', '쌀밥', '감자국', '참나물무침', '포기김치']","['봄새싹비빔밥', '쪽파국', '오징어튀김', '알감자버터구이', '오렌지', '포기김치']","['쌀밥', '잡곡밥', '어묵국', '등갈비김치찜', '청포묵무침', '애호박나물', '깍두기']",1033.0,463.0
39,-1.073732097320176,-0.8458549624459007,0.15758663731411793,-0.4717567763859502,-0.39590064641692174,3,"['모닝롤', '단팥빵', '우유', '주스', '계란후라이', '늙은호박죽', '쌀밥', '바지락쑥국', '마늘쫑무침', '포기김치']","['쌀밥', '잡곡밥', '매운콩나물국', '돈육굴소스볶음', '동태전', '봄동나물', '포기김치']","['주먹밥', '잔치국수', '또띠아피자', '과일샐러드', '오이피클', '포기김치']",781.0,526.0
40,-0.9627464614763064,-0.3809992016664241,0.29547256104412817,-0.9227243053880498,-0.39590064641692174,4,"['모닝롤', '야채샌드', '우유', '주스', '계란후라이', '녹두죽', '쌀밥', '민물새우찌개', '구이김', '포기김치']","['쌀밥', '잡곡밥', '버섯들깨탕', '갈치조림', '우엉잡채', '아삭고추무침', '포기김치']","['쌀밥', '잡곡밥', '쇠고기미역국', '순살깐풍기', '계란찜', '숙주미나리나물', '포기김치']",661.0,591.0
41,-0.9627464614763064,-0.6654631746807307,-0.4629000194709283,0.37736226470809325,-0.39590064641692174,0,"['모닝롤', '팬케익', '우유', '두유', '주스', '계란후라이', '잣죽', '쌀밥', '근대국', '마늘쫑무침', '포기김치']","['쌀밥', '잡곡밥', '순두부찌개', '쇠불고기', '브로컬리맛살볶음', '풋마늘초무침', '포기김치']","['쌀밥', '잡곡밥', '된장찌개', '고등어조림', '고기전', '부추생채', '포기김치']",1237.0,614.0
42,-0.9627464614763064,-0.8805456908622796,0.019700713584107653,0.3895505763027446,-0.39590064641692174,1,"['모닝롤', '단호박샌드', '우유', '두유', '주스', '계란후라이', '양송이죽', '쌀밥', '두부젓국찌개', '미역줄기볶음', '포기김치']","['쌀밥', '잡곡밥', '북어국', '오징어볶음*소면', '모둠소시지구이', '시금치나물', '포기김치']","['김치볶음밥', '가쯔오장국', '감자치즈구이', '꽃맛살샐러드', '단무지', '깍두기']",840.0,555.0
43,-0.9627464614763064,-0.838916816762625,0.18056762460245296,-1.1136745203709209,-0.39590064641692174,2,"['모닝롤', '치즈프레즐', '우유', '두유', '주스', '계란후라이', '팥죽', '쌀밥', '꽃게탕', '방풍나물', '포기김치']","['쌀밥', '잡곡밥', '올갱이아욱국', '제육볶음', '두부조림', '모둠쌈*쌈장', '포기김치']","['쌀밥', '잡곡밥', '매운버섯국', '찜닭', '탕평채', '청경채생채', '포기김치']",876.0,492.0
44,-0.9627464614763064,-0.7695353599298673,0.38739651019746835,0.2636046898246807,-0.39590064641692174,3,"['모닝롤', '치킨샌드', '우유', '두유', '주스', '계란후라이', '흑임자죽', '쌀밥', '열무된장국', '진미채무침', '포기김치']","['쌀밥', '잡곡밥', '어묵국', '매운돼지갈비찜', '해물파전', '무생채', '포기김치']","['김밥', '우동', '야채튀김', '조각사과', '오복지', '포기김치']",853.0,524.0
45,-0.9627464614763064,-0.49200953259883645,0.9619211924058445,-0.8536572063516923,-0.39590064641692174,4,"['모닝롤', '브라우니', '우유', '두유', '주스', '계란후라이', '고구마죽', '쌀밥', '대구찌개', '콩조림', '포기김치']","['쌀밥', '잡곡밥', '배추된장국', '순살양념치킨', '메추리알조림', '콩나물무침', '포기김치']","['쌀밥', '잡곡밥', '오징어국', '미니함박', '멸치호두볶음', '치커리사과무침', '포기김치']",764.0,542.0
46,-0.9627464614763064,-0.5267002610152153,-0.8765577906609591,0.47893152799685446,-0.39590064641692174,0,"['모닝롤', '마늘빵', '우유', '두유', '주스', '계란후라이', '견과류죽', '쌀밥', '고추장찌개', '김자반', '포기김치']","['쌀밥', '잡곡밥', '시래기국', '훈제오리구이', '무쌈', '양파절임', '풋마늘초무침', '포기김치']","['쌀밥', '잡곡밥', '쇠고기무국', '가자미찜', '계란야채말이', '돌나물오이무침', '포기김치']",1225.0,536.0
